Date,Year,Month,MonthName,Quarter,Weekday,WeekNumber
2023-01-01,2023,1,January,1,Sunday,52
2023-01-02,2023,1,January,1,Monday,1
2023-01-03,2023,1,January,1,Tuesday,1
2023-01-04,2023,1,January,1,Wednesday,1
2023-01-05,2023,1,January,1,Thursday,1
2023-01-06,2023,1,January,1,Friday,1
2023-01-07,2023,1,January,1,Saturday,1
2023-01-08,2023,1,January,1,Sunday,1
2023-01-09,2023,1,January,1,Monday,2
2023-01-10,2023,1,January,1,Tuesday,2
2023-01-11,2023,1,January,1,Wednesday,2
2023-01-12,2023,1,January,1,Thursday,2
2023-01-13,2023,1,January,1,Friday,2
2023-01-14,2023,1,January,1,Saturday,2
2023-01-15,2023,1,January,1,Sunday,2
2023-01-16,2023,1,January,1,Monday,3
2023-01-17,2023,1,January,1,Tuesday,3
2023-01-18,2023,1,January,1,Wednesday,3
2023-01-19,2023,1,January,1,Thursday,3
2023-01-20,2023,1,January,1,Friday,3
2023-01-21,2023,1,January,1,Saturday,3
2023-01-22,2023,1,January,1,Sunday,3
2023-01-23,2023,1,January,1,Monday,4
2023-01-24,2023,1,January,1,Tuesday,4
2023-01-25,2023,1,January,1,Wednesday,4
2023-01-26,2023,1,January,1,Thursday,4
2023-01-27,2023,1,January,1,Friday,4
2023-01-28,2023,1,January,1,Saturday,4
2023-01-29,2023,1,January,1,Sunday,4
2023-01-30,2023,1,January,1,Monday,5
2023-01-31,2023,1,January,1,Tuesday,5
2023-02-01,2023,2,February,1,Wednesday,5
2023-02-02,2023,2,February,1,Thursday,5
2023-02-03,2023,2,February,1,Friday,5
2023-02-04,2023,2,February,1,Saturday,5
2023-02-05,2023,2,February,1,Sunday,5
2023-02-06,2023,2,February,1,Monday,6
2023-02-07,2023,2,February,1,Tuesday,6
2023-02-08,2023,2,February,1,Wednesday,6
2023-02-09,2023,2,February,1,Thursday,6
2023-02-10,2023,2,February,1,Friday,6
2023-02-11,2023,2,February,1,Saturday,6
2023-02-12,2023,2,February,1,Sunday,6
2023-02-13,2023,2,February,1,Monday,7
2023-02-14,2023,2,February,1,Tuesday,7
2023-02-15,2023,2,February,1,Wednesday,7
2023-02-16,2023,2,February,1,Thursday,7
2023-02-17,2023,2,February,1,Friday,7
2023-02-18,2023,2,February,1,Saturday,7
2023-02-19,2023,2,February,1,Sunday,7
2023-02-20,2023,2,February,1,Monday,8
2023-02-21,2023,2,February,1,Tuesday,8
2023-02-22,2023,2,February,1,Wednesday,8
2023-02-23,2023,2,February,1,Thursday,8
2023-02-24,2023,2,February,1,Friday,8
2023-02-25,2023,2,February,1,Saturday,8
2023-02-26,2023,2,February,1,Sunday,8
2023-02-27,2023,2,February,1,Monday,9
2023-02-28,2023,2,February,1,Tuesday,9
2023-03-01,2023,3,March,1,Wednesday,9
2023-03-02,2023,3,March,1,Thursday,9
2023-03-03,2023,3,March,1,Friday,9
2023-03-04,2023,3,March,1,Saturday,9
2023-03-05,2023,3,March,1,Sunday,9
2023-03-06,2023,3,March,1,Monday,10
2023-03-07,2023,3,March,1,Tuesday,10
2023-03-08,2023,3,March,1,Wednesday,10
2023-03-09,2023,3,March,1,Thursday,10
2023-03-10,2023,3,March,1,Friday,10
2023-03-11,2023,3,March,1,Saturday,10
2023-03-12,2023,3,March,1,Sunday,10
2023-03-13,2023,3,March,1,Monday,11
2023-03-14,2023,3,March,1,Tuesday,11
2023-03-15,2023,3,March,1,Wednesday,11
2023-03-16,2023,3,March,1,Thursday,11
2023-03-17,2023,3,March,1,Friday,11
2023-03-18,2023,3,March,1,Saturday,11
2023-03-19,2023,3,March,1,Sunday,11
2023-03-20,2023,3,March,1,Monday,12
2023-03-21,2023,3,March,1,Tuesday,12
2023-03-22,2023,3,March,1,Wednesday,12
2023-03-23,2023,3,March,1,Thursday,12
2023-03-24,2023,3,March,1,Friday,12
2023-03-25,2023,3,March,1,Saturday,12
2023-03-26,2023,3,March,1,Sunday,12
2023-03-27,2023,3,March,1,Monday,13
2023-03-28,2023,3,March,1,Tuesday,13
2023-03-29,2023,3,March,1,Wednesday,13
2023-03-30,2023,3,March,1,Thursday,13
2023-03-31,2023,3,March,1,Friday,13
2023-04-01,2023,4,April,2,Saturday,13
2023-04-02,2023,4,April,2,Sunday,13
2023-04-03,2023,4,April,2,Monday,14
2023-04-04,2023,4,April,2,Tuesday,14
2023-04-05,2023,4,April,2,Wednesday,14
2023-04-06,2023,4,April,2,Thursday,14
2023-04-07,2023,4,April,2,Friday,14
2023-04-08,2023,4,April,2,Saturday,14
2023-04-09,2023,4,April,2,Sunday,14
2023-04-10,2023,4,April,2,Monday,15
2023-04-11,2023,4,April,2,Tuesday,15
2023-04-12,2023,4,April,2,Wednesday,15
2023-04-13,2023,4,April,2,Thursday,15
2023-04-14,2023,4,April,2,Friday,15
2023-04-15,2023,4,April,2,Saturday,15
2023-04-16,2023,4,April,2,Sunday,15
2023-04-17,2023,4,April,2,Monday,16
2023-04-18,2023,4,April,2,Tuesday,16
2023-04-19,2023,4,April,2,Wednesday,16
2023-04-20,2023,4,April,2,Thursday,16
2023-04-21,2023,4,April,2,Friday,16
2023-04-22,2023,4,April,2,Saturday,16
2023-04-23,2023,4,April,2,Sunday,16
2023-04-24,2023,4,April,2,Monday,17
2023-04-25,2023,4,April,2,Tuesday,17
2023-04-26,2023,4,April,2,Wednesday,17
2023-04-27,2023,4,April,2,Thursday,17
2023-04-28,2023,4,April,2,Friday,17
2023-04-29,2023,4,April,2,Saturday,17
2023-04-30,2023,4,April,2,Sunday,17
2023-05-01,2023,5,May,2,Monday,18
2023-05-02,2023,5,May,2,Tuesday,18
2023-05-03,2023,5,May,2,Wednesday,18
2023-05-04,2023,5,May,2,Thursday,18
2023-05-05,2023,5,May,2,Friday,18
2023-05-06,2023,5,May,2,Saturday,18
2023-05-07,2023,5,May,2,Sunday,18
2023-05-08,2023,5,May,2,Monday,19
2023-05-09,2023,5,May,2,Tuesday,19
2023-05-10,2023,5,May,2,Wednesday,19
2023-05-11,2023,5,May,2,Thursday,19
2023-05-12,2023,5,May,2,Friday,19
2023-05-13,2023,5,May,2,Saturday,19
2023-05-14,2023,5,May,2,Sunday,19
2023-05-15,2023,5,May,2,Monday,20
2023-05-16,2023,5,May,2,Tuesday,20
2023-05-17,2023,5,May,2,Wednesday,20
2023-05-18,2023,5,May,2,Thursday,20
2023-05-19,2023,5,May,2,Friday,20
2023-05-20,2023,5,May,2,Saturday,20
2023-05-21,2023,5,May,2,Sunday,20
2023-05-22,2023,5,May,2,Monday,21
2023-05-23,2023,5,May,2,Tuesday,21
2023-05-24,2023,5,May,2,Wednesday,21
2023-05-25,2023,5,May,2,Thursday,21
2023-05-26,2023,5,May,2,Friday,21
2023-05-27,2023,5,May,2,Saturday,21
2023-05-28,2023,5,May,2,Sunday,21
2023-05-29,2023,5,May,2,Monday,22
2023-05-30,2023,5,May,2,Tuesday,22
2023-05-31,2023,5,May,2,Wednesday,22
2023-06-01,2023,6,June,2,Thursday,22
2023-06-02,2023,6,June,2,Friday,22
2023-06-03,2023,6,June,2,Saturday,22
2023-06-04,2023,6,June,2,Sunday,22
2023-06-05,2023,6,June,2,Monday,23
2023-06-06,2023,6,June,2,Tuesday,23
2023-06-07,2023,6,June,2,Wednesday,23
2023-06-08,2023,6,June,2,Thursday,23
2023-06-09,2023,6,June,2,Friday,23
2023-06-10,2023,6,June,2,Saturday,23
2023-06-11,2023,6,June,2,Sunday,23
2023-06-12,2023,6,June,2,Monday,24
2023-06-13,2023,6,June,2,Tuesday,24
2023-06-14,2023,6,June,2,Wednesday,24
2023-06-15,2023,6,June,2,Thursday,24
2023-06-16,2023,6,June,2,Friday,24
2023-06-17,2023,6,June,2,Saturday,24
2023-06-18,2023,6,June,2,Sunday,24
2023-06-19,2023,6,June,2,Monday,25
2023-06-20,2023,6,June,2,Tuesday,25
2023-06-21,2023,6,June,2,Wednesday,25
2023-06-22,2023,6,June,2,Thursday,25
2023-06-23,2023,6,June,2,Friday,25
2023-06-24,2023,6,June,2,Saturday,25
2023-06-25,2023,6,June,2,Sunday,25
2023-06-26,2023,6,June,2,Monday,26
2023-06-27,2023,6,June,2,Tuesday,26
2023-06-28,2023,6,June,2,Wednesday,26
2023-06-29,2023,6,June,2,Thursday,26
2023-06-30,2023,6,June,2,Friday,26
2023-07-01,2023,7,July,3,Saturday,26
2023-07-02,2023,7,July,3,Sunday,26
2023-07-03,2023,7,July,3,Monday,27
2023-07-04,2023,7,July,3,Tuesday,27
2023-07-05,2023,7,July,3,Wednesday,27
2023-07-06,2023,7,July,3,Thursday,27
2023-07-07,2023,7,July,3,Friday,27
2023-07-08,2023,7,July,3,Saturday,27
2023-07-09,2023,7,July,3,Sunday,27
2023-07-10,2023,7,July,3,Monday,28
2023-07-11,2023,7,July,3,Tuesday,28
2023-07-12,2023,7,July,3,Wednesday,28
2023-07-13,2023,7,July,3,Thursday,28
2023-07-14,2023,7,July,3,Friday,28
2023-07-15,2023,7,July,3,Saturday,28
2023-07-16,2023,7,July,3,Sunday,28
2023-07-17,2023,7,July,3,Monday,29
2023-07-18,2023,7,July,3,Tuesday,29
2023-07-19,2023,7,July,3,Wednesday,29
2023-07-20,2023,7,July,3,Thursday,29
2023-07-21,2023,7,July,3,Friday,29
2023-07-22,2023,7,July,3,Saturday,29
2023-07-23,2023,7,July,3,Sunday,29
2023-07-24,2023,7,July,3,Monday,30
2023-07-25,2023,7,July,3,Tuesday,30
2023-07-26,2023,7,July,3,Wednesday,30
2023-07-27,2023,7,July,3,Thursday,30
2023-07-28,2023,7,July,3,Friday,30
2023-07-29,2023,7,July,3,Saturday,30
2023-07-30,2023,7,July,3,Sunday,30
2023-07-31,2023,7,July,3,Monday,31
2023-08-01,2023,8,August,3,Tuesday,31
2023-08-02,2023,8,August,3,Wednesday,31
2023-08-03,2023,8,August,3,Thursday,31
2023-08-04,2023,8,August,3,Friday,31
2023-08-05,2023,8,August,3,Saturday,31
2023-08-06,2023,8,August,3,Sunday,31
2023-08-07,2023,8,August,3,Monday,32
2023-08-08,2023,8,August,3,Tuesday,32
2023-08-09,2023,8,August,3,Wednesday,32
2023-08-10,2023,8,August,3,Thursday,32
2023-08-11,2023,8,August,3,Friday,32
2023-08-12,2023,8,August,3,Saturday,32
2023-08-13,2023,8,August,3,Sunday,32
2023-08-14,2023,8,August,3,Monday,33
2023-08-15,2023,8,August,3,Tuesday,33
2023-08-16,2023,8,August,3,Wednesday,33
2023-08-17,2023,8,August,3,Thursday,33
2023-08-18,2023,8,August,3,Friday,33
2023-08-19,2023,8,August,3,Saturday,33
2023-08-20,2023,8,August,3,Sunday,33
2023-08-21,2023,8,August,3,Monday,34
2023-08-22,2023,8,August,3,Tuesday,34
2023-08-23,2023,8,August,3,Wednesday,34
2023-08-24,2023,8,August,3,Thursday,34
2023-08-25,2023,8,August,3,Friday,34
2023-08-26,2023,8,August,3,Saturday,34
2023-08-27,2023,8,August,3,Sunday,34
2023-08-28,2023,8,August,3,Monday,35
2023-08-29,2023,8,August,3,Tuesday,35
2023-08-30,2023,8,August,3,Wednesday,35
2023-08-31,2023,8,August,3,Thursday,35
2023-09-01,2023,9,September,3,Friday,35
2023-09-02,2023,9,September,3,Saturday,35
2023-09-03,2023,9,September,3,Sunday,35
2023-09-04,2023,9,September,3,Monday,36
2023-09-05,2023,9,September,3,Tuesday,36
2023-09-06,2023,9,September,3,Wednesday,36
2023-09-07,2023,9,September,3,Thursday,36
2023-09-08,2023,9,September,3,Friday,36
2023-09-09,2023,9,September,3,Saturday,36
2023-09-10,2023,9,September,3,Sunday,36
2023-09-11,2023,9,September,3,Monday,37
2023-09-12,2023,9,September,3,Tuesday,37
2023-09-13,2023,9,September,3,Wednesday,37
2023-09-14,2023,9,September,3,Thursday,37
2023-09-15,2023,9,September,3,Friday,37
2023-09-16,2023,9,September,3,Saturday,37
2023-09-17,2023,9,September,3,Sunday,37
2023-09-18,2023,9,September,3,Monday,38
2023-09-19,2023,9,September,3,Tuesday,38
2023-09-20,2023,9,September,3,Wednesday,38
2023-09-21,2023,9,September,3,Thursday,38
2023-09-22,2023,9,September,3,Friday,38
2023-09-23,2023,9,September,3,Saturday,38
2023-09-24,2023,9,September,3,Sunday,38
2023-09-25,2023,9,September,3,Monday,39
2023-09-26,2023,9,September,3,Tuesday,39
2023-09-27,2023,9,September,3,Wednesday,39
2023-09-28,2023,9,September,3,Thursday,39
2023-09-29,2023,9,September,3,Friday,39
2023-09-30,2023,9,September,3,Saturday,39
2023-10-01,2023,10,October,4,Sunday,39
2023-10-02,2023,10,October,4,Monday,40
2023-10-03,2023,10,October,4,Tuesday,40
2023-10-04,2023,10,October,4,Wednesday,40
2023-10-05,2023,10,October,4,Thursday,40
2023-10-06,2023,10,October,4,Friday,40
2023-10-07,2023,10,October,4,Saturday,40
2023-10-08,2023,10,October,4,Sunday,40
2023-10-09,2023,10,October,4,Monday,41
2023-10-10,2023,10,October,4,Tuesday,41
2023-10-11,2023,10,October,4,Wednesday,41
2023-10-12,2023,10,October,4,Thursday,41
2023-10-13,2023,10,October,4,Friday,41
2023-10-14,2023,10,October,4,Saturday,41
2023-10-15,2023,10,October,4,Sunday,41
2023-10-16,2023,10,October,4,Monday,42
2023-10-17,2023,10,October,4,Tuesday,42
2023-10-18,2023,10,October,4,Wednesday,42
2023-10-19,2023,10,October,4,Thursday,42
2023-10-20,2023,10,October,4,Friday,42
2023-10-21,2023,10,October,4,Saturday,42
2023-10-22,2023,10,October,4,Sunday,42
2023-10-23,2023,10,October,4,Monday,43
2023-10-24,2023,10,October,4,Tuesday,43
2023-10-25,2023,10,October,4,Wednesday,43
2023-10-26,2023,10,October,4,Thursday,43
2023-10-27,2023,10,October,4,Friday,43
2023-10-28,2023,10,October,4,Saturday,43
2023-10-29,2023,10,October,4,Sunday,43
2023-10-30,2023,10,October,4,Monday,44
2023-10-31,2023,10,October,4,Tuesday,44
2023-11-01,2023,11,November,4,Wednesday,44
2023-11-02,2023,11,November,4,Thursday,44
2023-11-03,2023,11,November,4,Friday,44
2023-11-04,2023,11,November,4,Saturday,44
2023-11-05,2023,11,November,4,Sunday,44
2023-11-06,2023,11,November,4,Monday,45
2023-11-07,2023,11,November,4,Tuesday,45
2023-11-08,2023,11,November,4,Wednesday,45
2023-11-09,2023,11,November,4,Thursday,45
2023-11-10,2023,11,November,4,Friday,45
2023-11-11,2023,11,November,4,Saturday,45
2023-11-12,2023,11,November,4,Sunday,45
2023-11-13,2023,11,November,4,Monday,46
2023-11-14,2023,11,November,4,Tuesday,46
2023-11-15,2023,11,November,4,Wednesday,46
2023-11-16,2023,11,November,4,Thursday,46
2023-11-17,2023,11,November,4,Friday,46
2023-11-18,2023,11,November,4,Saturday,46
2023-11-19,2023,11,November,4,Sunday,46
2023-11-20,2023,11,November,4,Monday,47
2023-11-21,2023,11,November,4,Tuesday,47
2023-11-22,2023,11,November,4,Wednesday,47
2023-11-23,2023,11,November,4,Thursday,47
2023-11-24,2023,11,November,4,Friday,47
2023-11-25,2023,11,November,4,Saturday,47
2023-11-26,2023,11,November,4,Sunday,47
2023-11-27,2023,11,November,4,Monday,48
2023-11-28,2023,11,November,4,Tuesday,48
2023-11-29,2023,11,November,4,Wednesday,48
2023-11-30,2023,11,November,4,Thursday,48
2023-12-01,2023,12,December,4,Friday,48
2023-12-02,2023,12,December,4,Saturday,48
2023-12-03,2023,12,December,4,Sunday,48
2023-12-04,2023,12,December,4,Monday,49
2023-12-05,2023,12,December,4,Tuesday,49
2023-12-06,2023,12,December,4,Wednesday,49
2023-12-07,2023,12,December,4,Thursday,49
2023-12-08,2023,12,December,4,Friday,49
2023-12-09,2023,12,December,4,Saturday,49
2023-12-10,2023,12,December,4,Sunday,49
2023-12-11,2023,12,December,4,Monday,50
2023-12-12,2023,12,December,4,Tuesday,50
2023-12-13,2023,12,December,4,Wednesday,50
2023-12-14,2023,12,December,4,Thursday,50
2023-12-15,2023,12,December,4,Friday,50
2023-12-16,2023,12,December,4,Saturday,50
2023-12-17,2023,12,December,4,Sunday,50
2023-12-18,2023,12,December,4,Monday,51
2023-12-19,2023,12,December,4,Tuesday,51
2023-12-20,2023,12,December,4,Wednesday,51
2023-12-21,2023,12,December,4,Thursday,51
2023-12-22,2023,12,December,4,Friday,51
2023-12-23,2023,12,December,4,Saturday,51
2023-12-24,2023,12,December,4,Sunday,51
2023-12-25,2023,12,December,4,Monday,52
2023-12-26,2023,12,December,4,Tuesday,52
2023-12-27,2023,12,December,4,Wednesday,52
2023-12-28,2023,12,December,4,Thursday,52
2023-12-29,2023,12,December,4,Friday,52
2023-12-30,2023,12,December,4,Saturday,52
2023-12-31,2023,12,December,4,Sunday,52
